Id,SalePrice
1461,130663.48
1462,156537.7
1463,187271.94
1464,192871.95
1465,191665.92
1466,175074.58
1467,172297.11
1468,171275.08
1469,179151.86
1470,124371.66
1471,192763.2
1472,99571.44
1473,101526.83
1474,153373.64
1475,137782.44
1476,382748.88
1477,257092.56
1478,286851.97
1479,264881.2
1480,412867.06
1481,331487.47
1482,208085.2
1483,170581.97
1484,168420.48
1485,176070.11
1486,192233.89
1487,331907.3
1488,231649.9
1489,213038.98
1490,209334.58
1491,180302.22
1492,87450.4
1493,195157.42
1494,317076.56
1495,299094.44
1496,241389.42
1497,184955.03
1498,160288.48
1499,158006.84
1500,152849.17
1501,180206.72
1502,164265.02
1503,298457.44
1504,226576.17
1505,231589.53
1506,193045.33
1507,227861.1
1508,212748.14
1509,155797.06
1510,143093.14
1511,146171.44
1512,164083.89
1513,144584.2
1514,177932.75
1515,188097.97
1516,155582.23
1517,153410.77
1518,125571.695
1519,228720.73
1520,137374.25
1521,144806.84
1522,163451.4
1523,110210.95
1524,130555.49
1525,130970.66
1526,113651.66
1527,104014.91
1528,127987.695
1529,145843.34
1530,164821.52
1531,117502.125
1532,103214.73
1533,146592.05
1534,113299.75
1535,175178.52
1536,122226.75
1537,62845.703
1538,171105.4
1539,217958.84
1540,100404.44
1541,146453.31
1542,162054.17
1543,227085.52
1544,84146.02
1545,107676.86
1546,133413.64
1547,140363.17
1548,135400.02
1549,117044.25
1550,140987.61
1551,114678.875
1552,134649.97
1553,145657.75
1554,110576.734
1555,175409.38
1556,74374.44
1557,114599.664
1558,91178.68
1559,98162.484
1560,153910.17
1561,139302.77
1562,121478.57
1563,122317.6
1564,157946.56
1565,148901.19
1566,227586.66
1567,77851.695
1568,236703.03
1569,136065.92
1570,131964.38
1571,129857.016
1572,147214.84
1573,235941.36
1574,126643.32
1575,210894.33
1576,230541.42
1577,206649.62
1578,156258.0
1579,142337.55
1580,188695.72
1581,143091.16
1582,129600.664
1583,343114.97
1584,238226.34
1585,139826.44
1586,70553.06
1587,92676.49
1588,155058.7
1589,104774.96
1590,124723.41
1591,96388.375
1592,124548.625
1593,121800.66
1594,129912.84
1595,113628.66
1596,254257.78
1597,170821.7
1598,184320.67
1599,199050.89
1600,186644.31
1601,75805.21
1602,118609.47
1603,98958.62
1604,273490.0
1605,233458.3
1606,177573.06
1607,148466.33
1608,213988.16
1609,199147.67
1610,166215.75
1611,142229.61
1612,147198.73
1613,164091.12
1614,123736.28
1615,87798.01
1616,75156.0
1617,87266.81
1618,130049.984
1619,132783.0
1620,148889.92
1621,140860.61
1622,152115.31
1623,304011.94
1624,231848.58
1625,126221.016
1626,169558.22
1627,186679.73
1628,287831.34
1629,170288.78
1630,359125.4
1631,218086.19
1632,244115.77
1633,174852.73
1634,188694.31
1635,179821.11
1636,161600.9
1637,170063.53
1638,202974.58
1639,169453.06
1640,263645.06
1641,179032.14
1642,230645.8
1643,217059.78
1644,218852.48
1645,184963.22
1646,163150.58
1647,165382.14
1648,139859.25
1649,140951.95
1650,114145.34
1651,116976.836
1652,93430.78
1653,101270.195
1654,148191.98
1655,155654.78
1656,149475.11
1657,154688.77
1658,147069.23
1659,149843.9
1660,154933.55
1661,428275.1
1662,378013.3
1663,382587.4
1664,520107.75
1665,309149.4
1666,332032.4
1667,371227.97
1668,309957.56
1669,305890.72
1670,332523.53
1671,256177.22
1672,457771.03
1673,312521.8
1674,240419.73
1675,179717.86
1676,185154.52
1677,218847.66
1678,392771.38
1679,378705.53
1680,332061.44
1681,258505.61
1682,311568.5
1683,178522.33
1684,175609.23
1685,175209.42
1686,170407.38
1687,169216.89
1688,177462.47
1689,185959.61
1690,186996.75
1691,179944.25
1692,270528.12
1693,173680.97
1694,186350.86
1695,165744.98
1696,272896.5
1697,174461.14
1698,364991.6
1699,362034.7
1700,259561.98
1701,259192.75
1702,225493.89
1703,254138.28
1704,264274.22
1705,217418.12
1706,374775.66
1707,229133.17
1708,233201.73
1709,250440.11
1710,222976.42
1711,234432.16
1712,222851.67
1713,250683.9
1714,218673.75
1715,207200.39
1716,180267.05
1717,169679.7
1718,129159.51
1719,204857.56
1720,247084.12
1721,172904.23
1722,115799.91
1723,154582.33
1724,215834.03
1725,227524.92
1726,193077.44
1727,170127.27
1728,173136.55
1729,169098.97
1730,161898.1
1731,123259.34
1732,137685.42
1733,122067.15
1734,122903.484
1735,131114.7
1736,111082.44
1737,344599.8
1738,213332.62
1739,263027.56
1740,202718.34
1741,193960.8
1742,176110.08
1743,168362.38
1744,276000.84
1745,234574.8
1746,278031.1
1747,207088.4
